year,sub_sector_verbatim,planning_area,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score,app_agg_convenience,app_agg_safety,app_agg_customer_service,app_agg_service_info,app_agg_comfort,app_agg_promo,app_agg_affordability
2018,TaxiorCarBookingApp,GEYLANG,1.317535545,77.953093,74.199667,77.777994,66.33189,56.673726,8.25,8,8.67,7.33,6.5,4,6
2017,TaxiorCarBookingApp,GEYLANG,1.464185393,73.916883,74.240989,72.399929,73.44394,78.790077,8.5,7,7.33,7,8,8,7
2019,TaxiorCarBookingApp,HOUGANG,0.516666667,78.052283,81.169859,66.666667,66.262068,56.711877,7.25,7.5,7,7.67,6,0,6
2019,TaxiorCarBookingApp,HOUGANG,1,80.767503,74.385697,66.666667,62.986661,63.513062,7.25,7.5,7.67,8,9,7,8
2018,TaxiorCarBookingApp,HOUGANG,0.682464455,85.336286,70.232954,55.555556,70.417867,76.589019,7,7,8,8.67,7.5,7,8
2017,TaxiorCarBookingApp,HOUGANG,1.464185393,74.65611,81.258821,78.133191,77.427051,89.395039,8,7,7,7,7,8,7
2017,TaxiorCarBookingApp,HOUGANG,0.575842697,78.517005,74.296735,72.399929,77.129814,80.284344,8.75,8.5,7.33,8.33,8.5,0,9
2017,TaxiorCarBookingApp,HOUGANG,0.758426966,63.544999,73.740243,77.777778,70.055303,95.444653,7.25,8,7,7.33,7.5,8,7
2017,TaxiorCarBookingApp,HOUGANG,0.575842697,88.888889,77.165541,72.399929,66.666667,78.790077,8.75,8,7.67,8.67,7.5,0,9
2016,TaxiorCarBookingApp,HOUGANG,1.488203267,62.743807,59.659136,66.666667,68.929102,63.59713,3.5,7.5,0,7.33,7,7,10
2016,TaxiorCarBookingApp,HOUGANG,1.488203267,81.195913,63.762716,72.40648,63.367683,76.508422,4.75,9,0,7,7,6,9
2016,TaxiorCarBookingApp,HOUGANG,1.154264973,85.218391,70.038729,66.666667,70.054457,67.750623,4,7.5,0,7,7,6,10
2016,TaxiorCarBookingApp,HOUGANG,1.154264973,63.072541,22.222222,38.704631,36.632317,25.803349,2.25,3,0,5,3.5,5,5
2016,TaxiorCarBookingApp,HOUGANG,1.154264973,70.337164,67.22258,67.035182,63.367683,68.201435,4,7.5,0,6.33,8,10,6
2016,TaxiorCarBookingApp,HOUGANG,1.154264973,85.294763,70.038729,67.035182,77.777778,63.59713,4,8,0,8.33,7,8,8
2016,TaxiorCarBookingApp,HOUGANG,0.936479129,59.149681,69.570617,61.295369,63.278877,63.59713,4.5,7.5,0,6,7.5,7,7
2016,TaxiorCarBookingApp,invalid,0.936479129,74.183652,80.681728,83.886107,67.792021,80.191867,3.75,7.5,0,7.67,9,0,10
2016,TaxiorCarBookingApp,JURONG EAST,0.936479129,78.03014,73.586395,66.666667,76.652423,80.191867,4.25,7,0,7.33,7.5,8,9
2016,TaxiorCarBookingApp,JURONG EAST,0.421052632,74.10728,55.555556,60.926853,55.555556,72.805741,4,6.5,0,6.33,8,0,6
