planning_area,,year,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score
GEYLANG,weight_of_market_share,0.24,1.0,-0.63,-0.95,-0.63,-0.63,-0.63
GEYLANG,customer_loyalty‎_user_trust_score,-0.89,-0.63,0.2,0.8,1.0,1.0,1.0
GEYLANG,train_agg_service_info,0.58,0.54,0.26,-0.77,-0.77,-0.77,-0.77
GEYLANG,train_agg_customer_service,0.24,-0.78,0.21,0.74,0.21,0.21,0.21
GEYLANG,train_agg_convenience,-0.71,-0.83,0.32,0.95,0.95,0.95,0.95
GEYLANG,train_agg_comfort,-0.94,-0.39,-0.11,0.63,0.95,0.95,0.95
GEYLANG,train_agg_safety,0.0,-0.94,0.45,0.89,0.45,0.45,0.45
HOUGANG,year,1.0,0.16,0.42,-0.07,-0.03,-0.24,-0.44
HOUGANG,weight_of_market_share,0.16,1.0,-0.15,-0.32,-0.36,-0.52,-0.33
HOUGANG,customer_loyalty‎_user_trust_score,-0.44,-0.33,-0.06,0.08,0.47,-0.13,1.0
HOUGANG,train_agg_service_info,0.75,0.2,0.3,-0.37,0.01,-0.25,-0.23
HOUGANG,train_agg_customer_service,0.67,0.27,0.52,-0.51,-0.36,0.02,-0.18
HOUGANG,train_agg_convenience,0.78,-0.02,0.53,-0.2,-0.18,0.09,-0.23
HOUGANG,train_agg_comfort,0.77,0.28,0.46,-0.25,-0.26,-0.06,-0.29
HOUGANG,train_agg_safety,0.29,-0.58,0.35,0.31,-0.09,0.56,0.03
JURONG EAST,year,1.0,0.95,-0.95,-0.21,-0.74,-0.74,-0.74
JURONG EAST,weight_of_market_share,0.95,1.0,-0.8,-0.4,-0.6,-0.6,-0.6
JURONG EAST,customer_loyalty‎_user_trust_score,-0.74,-0.6,0.8,0.4,1.0,1.0,1.0
JURONG EAST,train_agg_service_info,1.0,0.95,-0.95,-0.21,-0.74,-0.74,-0.74
JURONG EAST,train_agg_customer_service,0.95,0.8,-1.0,0.0,-0.8,-0.8,-0.8
JURONG EAST,train_agg_convenience,0.89,0.95,-0.74,-0.63,-0.74,-0.74,-0.74
JURONG EAST,train_agg_comfort,0.95,1.0,-0.8,-0.4,-0.6,-0.6,-0.6
