year,sub_sector_verbatim,planning_area,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score,bus_agg_service_info,bus_agg_safety,bus_agg_comfort,bus_agg_convenience,bus_agg_customer_service
2017,Public Buses,JURONG WEST,0.94,62.54,59.09,61.29,59.24,72.74,6.0,6.5,7.5,7.25,7.0
2017,Public Buses,WOODLANDS,1.6,65.66,59.09,60.93,59.59,68.19,9.0,7.5,8.0,8.25,7.5
2017,Public Buses,BISHAN,0.94,81.17,77.22,72.4,78.13,76.64,8.666666666666666,7.5,9.0,9.0,10.0
2017,Public Buses,BUKIT TIMAH,1.6,58.68,70.76,60.93,66.37,75.73,9.0,7.0,8.0,8.0,6.5
2017,Public Buses,GEYLANG,1.6,55.56,63.74,60.93,59.59,75.73,7.333333333333333,7.5,7.0,8.5,8.5
2017,Public Buses,BISHAN,0.94,40.58,33.33,38.71,41.06,31.81,7.0,4.0,3.0,5.0,6.5
2016,Public Buses,CLEMENTI,0.73,55.56,73.67,72.04,62.33,63.6,7.333333333333333,9.0,6.0,9.0,6.0
2016,Public Buses,WOODLANDS,0.73,77.7,70.04,67.04,63.28,74.2,8.666666666666666,7.0,6.0,7.333333333333333,9.0
2016,Public Buses,SERANGOON,0.73,74.11,74.23,72.04,63.28,61.76,7.333333333333333,10.0,10.0,7.666666666666667,10.0
2016,Public Buses,SENGKANG,0.73,62.82,77.78,60.93,66.76,69.59,7.333333333333333,8.0,8.0,8.0,6.0
2016,Public Buses,BUKIT BATOK,0.73,74.18,73.59,60.93,69.97,68.2,7.0,9.0,8.0,7.666666666666667,7.0
2016,Public Buses,SERANGOON,0.73,37.18,22.78,22.59,28.91,27.19,2.6666666666666665,5.0,3.0,4.0,2.0
2016,Public Buses,BUKIT PANJANG,0.73,55.56,73.67,66.3,62.33,68.67,7.0,9.0,7.0,8.0,7.0
2016,Public Buses,CHOA CHU KANG,0.73,74.11,74.32,72.04,70.05,58.52,7.0,6.0,7.0,9.0,6.0
2016,Public Buses,ANG MO KIO,0.73,70.34,66.58,66.67,58.85,62.68,8.666666666666666,7.0,6.0,9.333333333333334,6.0
2016,Public Buses,JURONG WEST,0.73,63.07,66.11,77.78,63.37,62.68,7.666666666666667,7.0,6.0,7.333333333333333,8.0
2016,Public Buses,WOODLANDS,0.73,55.56,66.58,66.67,73.35,74.2,7.0,9.0,8.0,8.666666666666666,7.0
2016,Public Buses,HOUGANG,0.73,59.23,66.11,72.04,73.35,61.76,7.666666666666667,7.0,7.0,7.333333333333333,7.0
2016,Public Buses,CHOA CHU KANG,0.73,74.36,73.59,72.41,63.37,62.68,7.333333333333333,9.0,8.0,7.333333333333333,6.0
2016,Public Buses,BUKIT PANJANG,0.73,74.11,63.21,66.67,64.4,65.44,8.333333333333334,8.0,7.0,7.333333333333333,7.0
2016,Public Buses,SERANGOON,1.75,70.34,63.12,61.3,55.56,69.59,7.0,7.0,8.0,6.666666666666667,7.0
2016,Public Buses,HOUGANG,1.75,62.82,70.13,66.67,59.98,61.76,7.333333333333333,8.0,8.0,6.666666666666667,8.0
2016,Public Buses,JURONG EAST,1.75,66.67,66.67,60.93,58.94,60.83,8.333333333333334,10.0,6.0,8.666666666666666,9.0
2016,Public Buses,HOUGANG,1.75,59.15,70.13,66.3,55.56,72.81,7.666666666666667,7.0,9.0,7.666666666666667,7.0
2016,Public Buses,BUKIT BATOK,1.75,59.23,70.13,66.67,66.67,63.6,6.666666666666667,9.0,7.0,8.0,6.0
2016,Public Buses,CHOA CHU KANG,1.75,62.82,70.21,60.93,55.56,66.83,8.333333333333334,8.0,9.0,7.333333333333333,10.0
2016,Public Buses,HOUGANG,1.75,51.96,37.44,44.44,26.65,15.2,2.3333333333333335,2.0,4.0,4.0,5.0
2016,Public Buses,PUNGGOL,1.75,73.93,74.23,66.67,64.4,69.59,7.333333333333333,8.0,8.0,7.0,6.0
