"PLN_AREA_N","weighted_percentage"
"Singapore, BEDOK",1.30682134372124
"Singapore, BUKIT BATOK",6.50858286423664
"Singapore, BUKIT MERAH",2.87965796964962
"Singapore, BUKIT PANJANG",10.4898179772326
"Singapore, BUKIT TIMAH",7.0888251535712
"Singapore, CHOA CHU KANG",19.3192484566438
"Singapore, CLEMENTI",6.39117313413668
"Singapore, DOWNTOWN CORE",NA
"Singapore, GEYLANG",5.75409772907258
"Singapore, HOUGANG",18.697074120845
"Singapore, JURONG EAST",6.42180175938015
"Singapore, JURONG WEST",20.297106338973
"Singapore, KALLANG",4.85463710108945
"Singapore, MARINE PARADE",2.38903276899039
"Singapore, PASIR RIS",11.8061570073085
"Singapore, PAYA LEBAR",NA
