"PLN_AREA_N","weighted_value"
"Singapore, ANG MO KIO",7033
"Singapore, BEDOK",11520
"Singapore, BISHAN",4623
"Singapore, BUKIT BATOK",3825
"Singapore, BUKIT MERAH",1692.33333333333
"Singapore, BUKIT PANJANG",1681.28571428571
