distance,Up to 3.2 km,3.3 km - 4.2 km,4.3 km - 5.2 km,5.3 km - 6.2 km,6.3 km - 7.2 km,over 7.3 km - 8.2 km
trunk_bus_service,42,47,52,57,60,63
express_bus,72,77,82,87,90,93
