,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
age,0.14787340233622473,-0.12303466893899036,0.003272466830151101,-0.05900637859613238,-0.08766830140555926,0.06551851536421252,-0.17833961130052464,0.07067858142222642,-0.11776836469803209,0.025771180955784234,-0.1860196753786073,0.017544338764164082,0.04940515784990223,0.26233807925932545,0.06081251332976937,0.10084747833205845,0.1250194076134636,-0.18499761200929715,0.17563537791741293,0.19705842068130397
gender,0.21371233386322874,-0.07231833161156082,-0.047421926613157764,-0.030071861695473122,-0.09906607452283957,0.0836513204221108,0.019395583702452174,0.07920626059293107,-0.05226259264792287,-0.011515871244773664,-0.147360774434358,0.11333453777295116,0.13135016234593808,0.03158200877989247,-0.0013895041639226202,-0.02994108595590769,0.34412324863884214,-0.08990190649287341,0.05944034325333728,0.10684198100641848
monthly_income,-0.08042552461670742,-0.08298559150342398,0.02853998484210973,-0.03521509130914563,-0.022469990807446317,-0.09395134864263101,-0.16053812956256622,-0.06718719297752285,-0.09987114566487905,-0.09869011114404122,-0.07087325277035568,0.01981988051400573,-0.03570643535045893,-0.40797760002872746,-0.04432745895718665,0.010180652240386376,0.044084834526453634,0.06713288495620522,-0.01347021663185034,0.1538920322840319
instituition,-0.08925841871336086,0.06218737232209882,0.015291287375204217,-0.008492873283222234,-0.011883492427872133,0.08594698996058742,0.14290716107939017,-0.06903105500136208,0.011975154314453907,0.16769180712933296,0.016860450180423703,-0.03492560351969241,-0.05800230639639413,0.05413570463401078,-0.09898695444037822,0.0010439769475009129,0.060433132226531364,0.03853586363788654,-0.011471527268763234,0.050627656338161485
region,0.1283955535148011,-0.018878252223905802,0.03216719316315411,0.006300813580084124,0.05009949596503799,-0.07721003360006305,0.054168246860722635,-0.1055223036804649,0.011088259686615047,-0.20328571445471413,0.15131799985607075,-0.10899534607008056,0.17012206956155618,0.025931809000766082,-0.10430262104530752,-0.02742542357318188,-0.035619243115200754,0.006450835387565971,0.032869390282413806,0.03613152440310834
location,-0.010558023679591879,-0.0972153410111367,0.04427547491395345,0.16607981263857222,-0.08626240963172246,0.03342374899684407,-0.0727386666301916,0.25128528340356526,-0.03752741135939683,-0.04240977394096605,-0.0627043738819224,0.2200999239471017,-0.25828000104576054,-0.13977172582961478,0.045570543333330715,0.09762849750957817,-0.12244641742282207,-0.09049509883896385,-0.03283254962990456,0.024196040019046867
type_of_student,0.10177529433431119,0.1089147377912799,-0.07883175119355272,0.051253014730978486,0.038199849309865,0.01737365935525812,0.03522703513385212,0.10696610354612682,-0.051457161883124256,-0.07156333146561196,0.009597189987346768,-0.0687448128531427,-0.14340346969051848,0.4870313299182138,-0.04488931875476928,-0.1294019479452665,0.10115589131379564,-0.030401914346092265,-0.08864551832978734,0.12282828465509119
type_of_employment,-0.014508057728592087,-0.04854177435652313,-0.043577494141735756,-0.030964124000404443,-0.03019229552878863,0.0028762259198077816,0.023712082689358562,0.06349024489215456,0.11960949671620698,0.039416028992124645,0.019080166954706945,-0.07407635218687503,-0.001740323372422286,-0.4986549382401351,0.07532182467595576,-0.0860008121333327,0.043883232389950094,0.025308651535153173,-0.06547227113917643,-0.030939687508494573
preferred_mot,0.010523242699729981,0.02579606301646028,0.9737049311425031,0.003618927818470049,0.027377664953288045,0.025835831462732044,0.021356472749639033,0.07716580273123778,-0.020756418001833032,0.021403740826953368,-0.014006466953651608,0.005923076021309788,0.016992390158105823,0.005074916617663288,-0.0038732602812222867,0.0405830701622478,0.0033490931743203117,-0.044098792123545144,0.005226483288736703,0.0030564900514240823
factors_mot_ranking,0.019120513727419047,0.04958970628648232,0.03572344670339737,-0.03841144389969302,0.028781698111789544,-0.08535908619991911,-0.034196614342423035,0.02741277594028008,-0.03840377190232842,0.11790354646107008,0.07086717128926122,0.12147755511052626,0.11213763187036775,0.25467745709945333,0.04184835700728376,-0.019948775880427164,0.09996259731852054,0.05284687196755474,-0.05824597861822915,-0.018004047721191702
