age,gender,monthly_income,instituition,region,location,type_of_student,type_of_employment,convenient_rental_car,difficulties_rental_car,reason_chosen_rental_car_company_convenient,reason_rental_car_convenience,reason_rental_car_occasions,affordable_bus,affordable_mrt,safe_taxi,safe_ride_hailing,safe_bus,safe_mrt,reason_taxi_comfort_of_privacy,reason_ride_hailing_ comfort_of_privacy,reason_ride_hailing_promotion,reason_taxi_promotion,customer_service_taxi,customer_service_ride_hailing,reason_ride_hailing_accessible,reason_taxi_more_accessible,reason_ride_hailing_easy_booking
1,1,2,8,2,38,0,2,2,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0
1,1,4,17,1,17,0,2,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,-1,-1,0,0,0
0,1,2,17,0,21,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0
1,0,4,17,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1
0,0,4,7,4,3,0,2,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,12,2,25,0,0,0,0,0,0,0,1,1,1,1,-1,0,1,1,1,0,1,1,1,1,1
1,0,4,17,4,9,0,2,0,0,0,0,0,2,-1,-1,2,2,1,0,0,0,1,-1,2,1,0,0
1,0,4,17,0,14,0,2,0,0,0,0,0,2,1,0,2,2,2,1,0,0,1,1,2,0,0,1
3,1,0,0,0,4,1,1,2,2,1,1,1,2,-1,1,-1,-1,-1,0,0,1,0,-2,2,1,0,1
1,1,4,17,0,2,0,2,0,0,0,0,0,2,2,2,1,2,2,0,0,1,1,2,1,0,0,0
1,0,4,17,4,8,0,2,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0
1,0,4,17,3,26,0,2,2,1,1,1,0,1,-1,1,1,1,2,0,0,1,1,-1,-1,1,1,0
0,0,2,17,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1
1,0,4,15,4,8,0,2,0,0,0,0,0,1,1,1,1,1,2,0,1,1,1,1,2,1,1,1
0,0,5,11,2,38,0,2,0,0,0,0,0,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1
0,1,5,7,4,8,0,2,0,0,0,0,0,2,2,0,2,1,1,0,0,0,0,2,2,1,1,1
1,0,4,8,2,35,0,2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0
0,0,2,17,4,8,0,2,0,0,0,0,0,-2,0,1,1,2,2,1,0,1,0,1,2,0,0,1
1,1,4,19,2,25,1,2,2,1,0,0,1,2,2,2,2,2,2,0,0,1,0,-1,-1,0,0,0
1,0,5,17,3,11,0,2,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0
0,0,0,17,0,7,0,2,0,0,0,0,0,2,2,1,1,0,1,0,0,1,1,2,1,0,0,0
1,2,5,8,1,21,0,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
1,0,4,9,4,5,0,1,0,0,0,0,0,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0
1,0,4,19,4,13,0,2,0,0,0,0,0,2,1,0,1,1,1,0,1,1,1,1,2,1,1,1
1,0,4,8,4,8,0,2,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
1,1,2,15,0,7,0,2,0,0,0,0,0,0,-1,1,1,0,1,0,0,1,1,1,1,0,0,1
1,0,5,8,4,3,0,2,0,0,0,0,0,2,2,0,0,1,2,0,0,1,1,1,2,0,1,0
0,0,2,17,2,21,0,2,0,0,0,0,0,2,2,2,2,2,2,1,0,1,1,2,2,0,1,0
1,0,5,19,4,8,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,1,1,0,0,0
1,1,4,17,2,35,0,2,2,2,1,1,1,2,1,1,1,2,1,0,0,1,1,0,0,1,1,1
1,0,4,17,0,21,0,2,0,0,0,0,0,1,1,1,1,2,2,0,0,1,0,0,0,1,1,0
1,0,2,9,3,26,0,2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,2,1,0,0,0
1,2,5,10,4,8,0,0,0,0,0,0,0,1,2,1,1,1,1,0,0,1,1,1,1,1,1,0
1,0,4,9,0,2,0,2,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
1,0,4,19,0,2,0,2,0,0,0,0,0,1,2,0,0,1,1,0,0,1,1,0,0,0,0,0
0,0,5,8,1,30,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,17,3,26,0,2,0,0,0,0,0,1,1,0,-1,1,2,0,0,0,0,-1,-1,0,0,0
1,1,2,3,1,1,0,2,0,0,0,0,0,-1,-1,1,1,0,0,0,0,0,0,0,-1,0,0,0
1,0,5,17,2,38,0,2,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,1,1,1,1,0
1,0,3,9,2,35,0,0,0,0,0,0,0,2,2,1,1,2,2,0,0,1,0,1,1,1,0,0
1,0,1,18,4,13,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,1,0,1,1,0,0,0
0,0,4,7,4,13,0,2,0,0,0,0,0,2,1,1,1,2,2,0,0,0,0,1,1,0,0,0
1,0,0,17,1,21,0,2,0,0,0,0,0,1,2,2,2,2,2,0,0,1,1,1,1,0,0,0
1,0,2,17,0,2,0,2,0,0,0,0,0,2,1,1,0,2,1,1,1,0,0,2,2,1,1,0
3,0,5,8,1,34,0,2,2,1,1,1,0,2,2,1,1,2,2,0,0,1,0,-1,0,1,0,0
1,1,2,8,4,5,0,2,0,0,0,0,0,2,2,2,0,2,2,0,0,0,1,0,2,1,1,0
0,0,5,8,1,21,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0
0,0,4,4,0,33,0,2,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0
1,0,4,8,4,21,0,2,0,0,0,0,0,0,-1,0,1,1,1,0,0,0,0,0,0,0,0,0
1,0,4,8,3,26,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,2,1,0,1,1
1,0,2,8,0,2,0,2,0,0,0,0,0,2,2,-1,-1,1,1,0,0,0,0,0,0,1,0,0
1,1,3,9,0,2,1,2,0,0,0,0,0,2,2,1,1,2,2,0,0,1,1,1,1,0,0,0
1,1,4,17,0,10,0,1,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,1,1,0
1,0,3,19,4,8,1,0,0,0,0,0,0,2,2,1,0,1,2,1,1,1,0,0,0,1,0,1
1,1,4,8,4,13,0,2,0,0,0,0,0,0,1,0,0,0,2,1,1,1,1,-1,-1,1,1,1
0,0,4,8,0,33,0,2,0,0,0,0,0,1,0,1,1,1,2,0,0,0,1,-1,-1,1,1,0
0,0,4,9,2,35,0,2,0,0,0,0,0,2,2,1,1,1,1,1,0,0,0,1,1,1,0,0
1,0,4,17,3,11,0,2,0,0,0,0,0,2,2,2,1,1,1,0,0,0,0,2,2,0,0,0
0,0,4,14,2,25,0,2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0
1,0,4,17,0,6,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
1,1,5,8,4,9,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0,0
1,1,2,17,1,1,0,2,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,1,0,0,1
1,0,5,9,0,6,0,2,0,0,0,0,0,2,1,1,0,2,2,0,0,0,0,-2,2,0,0,0
0,1,4,18,0,14,0,2,0,0,0,0,0,2,2,2,2,2,2,1,1,1,1,1,1,0,0,1
1,0,2,17,0,2,1,1,0,0,0,0,0,2,2,2,2,2,2,1,1,1,0,2,2,1,0,0
1,1,1,8,0,33,0,2,0,0,0,0,0,2,2,2,1,2,2,0,0,1,0,0,0,1,1,1
1,1,4,17,3,27,0,2,2,2,0,1,0,1,0,2,2,2,2,0,0,0,0,0,0,1,1,0
1,1,4,17,3,11,0,2,0,0,0,0,0,2,2,1,1,2,2,0,0,1,1,1,1,1,0,0
1,0,4,8,3,20,0,2,0,0,0,0,0,2,2,2,2,2,2,0,0,1,0,1,1,1,0,1
1,0,4,10,1,1,0,2,0,0,0,0,0,1,2,-1,1,1,2,0,0,1,1,-2,2,1,1,1
0,0,4,8,1,1,0,2,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0
2,1,2,17,0,6,0,2,0,0,0,0,0,2,2,1,1,1,2,0,0,1,1,0,0,0,0,0
1,1,4,8,3,36,0,2,0,0,0,0,0,1,1,0,0,2,1,0,0,1,0,-1,-1,0,1,1
0,0,4,17,2,38,0,2,0,0,0,0,0,2,1,1,0,1,0,1,1,1,0,1,1,0,0,0
0,0,2,17,3,0,0,1,0,0,0,0,0,2,2,1,1,1,2,0,0,1,1,0,0,0,0,0
1,1,2,17,0,2,0,2,0,0,0,0,0,2,1,1,0,1,1,0,1,1,0,0,1,1,1,1
1,1,2,17,4,3,0,2,0,0,0,0,0,2,2,2,2,2,2,0,1,1,1,2,2,1,1,1
1,0,4,17,1,17,0,2,0,0,0,0,0,2,1,-2,2,1,1,0,1,1,0,1,2,1,0,1
0,0,4,17,3,26,0,2,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
1,0,4,17,4,37,0,2,0,0,0,0,0,-1,-1,0,0,1,1,0,0,1,1,1,1,0,1,1
0,1,1,17,2,38,0,2,0,0,0,0,0,1,1,2,0,2,2,0,0,0,1,0,1,0,0,0
1,0,4,8,3,0,0,2,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,17,1,17,0,2,0,0,0,0,0,2,2,2,2,1,1,0,0,1,0,2,2,0,0,1
1,0,5,17,4,8,0,2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
0,0,5,8,3,22,0,2,0,0,0,0,0,2,2,0,-1,1,1,0,0,0,0,1,2,0,0,0
0,0,4,18,4,9,0,2,0,0,0,0,0,1,-1,-1,-1,0,0,0,0,0,0,1,1,0,0,0
0,0,4,8,4,5,0,2,0,0,0,0,0,1,1,-1,1,2,2,0,0,0,0,1,1,1,1,1
1,0,4,17,2,35,0,2,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0
1,0,4,9,4,9,0,2,0,0,0,0,0,-1,1,1,-1,1,-1,0,0,0,0,-1,-1,0,0,0
0,0,2,5,4,21,0,2,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0
0,0,4,17,2,38,0,2,0,0,0,0,0,1,1,-1,1,1,1,0,0,0,1,-1,1,1,1,0
3,0,3,8,1,18,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1
0,0,4,17,3,27,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,2,0,0,1
1,1,2,17,1,15,0,2,0,0,0,0,0,2,1,2,2,2,1,1,1,1,1,0,0,0,0,0
0,0,4,9,4,5,0,2,0,0,0,0,0,2,2,1,0,1,1,1,1,1,1,1,1,0,0,0
1,0,4,17,0,6,0,2,0,0,0,0,0,1,1,1,-1,1,0,0,0,1,1,0,1,0,1,0
0,0,5,17,0,16,0,2,0,0,0,0,0,2,1,1,2,2,1,1,1,1,0,0,2,1,1,0
1,1,2,9,3,11,0,2,2,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0
1,0,0,9,1,30,0,1,0,0,0,0,0,1,0,1,2,2,1,0,0,1,0,-1,-1,0,0,1
0,0,4,8,3,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
