,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
age,0.11078138416233972,-0.08666918477497261,-0.016046073442898278,0.10623431401003362,-0.16229838216413248,-0.05593894564137901,0.15172491731580354,0.10245471121756482,-0.0007032738123523822,0.029744590942647565,0.5643167597863076,-0.09910439561708169,-0.061928668924053534,-0.009183333653452948,0.03496542268607706
gender,0.17315918276733963,0.07543364250940325,0.06619613751736539,-0.09743516493678644,-0.016806122928498837,-0.015325348128917667,0.0010647745004029726,-0.028951783153318103,0.019991904770502823,-0.010153030500786172,0.4566637286180327,0.05982499566291278,0.25716275943802963,0.011153640213466494,0.05720579492467824
monthly_income,-0.06188825046630731,0.02145608359863026,-0.0274507949271636,0.05800999683965669,0.42657063543171525,0.04644114461528601,0.02268938666079835,0.1020762727553829,0.011517586135535498,-0.04697217562556817,0.058285786302722936,-0.0731557994828734,-0.04346526848593952,0.04953713071561252,-0.012345033503818766
instituition,-0.07552768760078461,0.19109425918272632,-0.20056865942180097,-0.04216297416865888,-0.0940488623770108,0.09998949292947955,-0.11943236478782693,-0.030060760287744504,0.04882568906101142,0.05830428984188441,0.0028672976641971326,-0.0691603724798359,-0.01679981208133313,-0.1395446192622244,-0.010901468464886453
region,0.09905563102319716,0.03931385804056932,0.02851341875194384,0.001492740319827705,0.012633531744618568,-0.10734131484011708,-0.08632470482906385,0.002262539853567515,-0.04595143422238635,0.032026427131656966,-0.025288558816361564,0.013315998979863615,-0.06293853366535841,0.7405597493395616,0.012765261371741356
location,-0.020023129645838737,-0.04902877773104938,0.08610148144511201,0.012726092251652315,0.11697828846428308,0.08005920303802695,0.09917059471145767,0.680754207245822,0.03006296650878508,0.022064642613551157,-0.04408898293548425,0.17519313013268983,-0.02614711062066778,-0.18539440492016077,0.11122730153737395
type_of_student,0.09651489491941391,0.06015292537006897,-0.027996853618939395,-0.033332132689243024,-0.4675089692339417,0.048675613908225474,-0.16083134948357317,0.0564021494061202,0.001650614836024643,0.034578196884315016,0.12728017141491108,0.0850005421416709,-0.02981983978119611,-0.04108051059550799,0.01925504958711805
type_of_employment,-0.0015172089230272286,0.1494030761420758,-0.04931932791769916,0.0043626037845636515,0.5600811025453256,-0.059828522042991994,-0.09165972465659736,-0.04759851998558005,0.10198107316179461,0.04387893452141277,-0.10417287950912682,0.14500230063904188,0.07903700564376415,-0.09658961368451668,-0.08066302288845378
frequently_used_mot,0.0600341214791937,-0.04958062054001864,-0.014802075717851228,-0.003896847103228734,0.04064181635335758,0.375714092685113,0.12361999977055088,0.05256769329290752,-0.04341900999904783,0.030853183358024266,0.0383061583429678,-0.22609373568660104,-0.13058900563045964,-0.13654832439490736,0.06989091067639401
frequency_mot,-0.002912161979441919,0.013833451437546043,0.7221577504825881,0.023050154317083463,-0.012787469672807672,0.04084242975309986,0.05873180736562004,0.00385191674686677,-0.07761719876769677,0.05686379296955207,0.02828663053217946,0.14508283572042088,0.04379514052237141,-0.002547964167466905,0.04396986944081228
factors_mot_ranking,0.01016967059119843,-0.01923193532288244,-0.05040618441132657,0.08406625321358696,-0.25108619982589364,0.052244651984089396,0.17072217204823273,-0.02901616714788825,0.0014270164847563955,0.05905265342492792,-0.020741234142332924,-0.03035982022022912,0.011239126319172331,0.03922615411745882,-0.2351155786908816
overall_avg_spending,0.03597900816806265,-0.09489903037022111,0.12621310322276352,0.1045456085706832,-0.03360160543606361,0.011532884445470699,-0.4231058403800988,-0.02732603907113961,-0.05798192557481629,0.01213650393921423,-0.08787972971321166,-0.09774788234893612,-0.1418768033249692,0.0041103827763440395,-0.08613779709590878
research,-0.05415863686354742,-0.032364751935959564,-0.05638923700299366,0.023999569290296365,0.013447398222282924,-0.017957208293780152,-0.05663425681334652,-0.006691869311570265,0.6004389477073605,0.10803025401820328,-0.0020094411534089997,0.02091002587092578,-0.0772389342985198,-0.09418838000985857,-0.02727021279945873
comfortable,0.015526004547884859,0.06508308626691862,-0.10096851423358727,-0.07110087465161663,0.06905272781168063,0.09462636746363853,-0.011735119581074016,-0.1390417336889441,0.3885095049503457,-0.1005434108442961,0.05924893488268089,0.2491205114532841,0.027173746572035126,-0.017384962235477606,0.10996535397697042
explore,-0.02342643677232648,-0.0019196535147955305,-0.0198506749343843,0.08803424540651585,0.038773486676758936,-0.01627304442330147,0.20239680392436424,0.07923459036050333,0.4989805781571009,-0.039545042019107926,-0.0032451320032999913,0.004964999191507532,0.12287226312472092,0.07225294894420017,0.060820139693886395
frequently_used_mot_cnt,0.1211971274561825,-0.10745557245254349,-0.04316322383464411,0.21874752227569647,-0.02267843589480519,-0.10059685614215623,0.3391962348399804,0.05805085209511564,0.009544720594518495,0.15739244505828817,0.025271893899278787,0.38776828636574007,-0.11953037369661325,0.052513212904691436,0.1205273835607333
